SMU_Name_Tier_1,length (km),NI_perc%,MR_perc%,R_perc%
Alexandra Bay,32.60,90.50%,9.50%,0.00%
Belle River,61.97,84.80%,10.88%,4.32%
Blockhouse Point,5.50,100.00%,0.00%,0.00%
Boughton Bay,67.55,62.87%,19.82%,17.31%
Boughton Island,16.62,89.22%,10.78%,0.00%
Cardigan estuary,70.06,63.35%,23.72%,12.93%
Charlottetown,25.00,24.80%,19.20%,56.00%
Gaspereaux-Panmure causeway,11.10,66.67%,29.73%,3.60%
Hillsborough River,146.18,84.97%,13.74%,1.29%
Howe Bay,22.68,85.28%,13.42%,1.30%
Little Pond,12.34,100.00%,0.00%,0.00%
Montague-Brudenell estuaries,71.82,55.66%,15.19%,29.14%
Murray Harbour,92.10,54.84%,30.00%,15.16%
Murray Harbour North,21.12,66.36%,20.09%,13.55%
Murray Islands,12.11,100.00%,0.00%,0.00%
Nine Mile Creek- Rice Point,31.16,56.87%,17.25%,25.88%
North River,33.61,81.42%,7.08%,11.50%
Orwell Bay,39.03,94.67%,4.57%,0.76%
Orwell-Vernon estuary,70.60,82.06%,12.71%,5.23%
Pinette,66.53,83.04%,11.76%,5.21%
Pownal Bay,33.30,87.76%,12.24%,0.00%
St. Peters - Governors Island,9.57,100.00%,0.00%,0.00%
Stratford,16.80,67.86%,9.52%,22.62%
Sturgeon Bay,50.44,76.89%,11.84%,11.26%
West River,103.53,79.96%,15.15%,4.89%
White Sands- Little Sands,38.25,88.25%,10.18%,1.57%
Wood Islands,8.65,28.26%,18.48%,53.26%
